Date,Status,University,County,State
2020-08-08,Actual,1.0,55.0,1109.0
2020-08-09,Actual,0.5,49.5,843.0
2020-08-10,Actual,0.3333333333333333,39.0,725.0
2020-08-11,Actual,0.25,35.25,718.75
2020-08-12,Actual,1.0,37.8,660.2
2020-08-13,Actual,1.0,37.333333333333336,701.3333333333334
2020-08-14,Actual,1.0,43.714285714285715,735.1428571428571
2020-08-15,Actual,1.2857142857142858,40.285714285714285,690.2857142857143
2020-08-16,Actual,1.4285714285714286,43.285714285714285,696.2857142857143
2020-08-17,Actual,1.4285714285714286,44.285714285714285,687.8571428571429
2020-08-18,Actual,2.142857142857143,40.142857142857146,587.8571428571429
2020-08-19,Actual,1.7142857142857144,40.285714285714285,705.1428571428571
2020-08-20,Actual,1.5714285714285714,39.714285714285715,676.8571428571428
2020-08-21,Actual,1.8571428571428572,33.714285714285715,654.7142857142857
2020-08-22,Actual,1.8571428571428572,36.714285714285715,669.0
2020-08-23,Actual,2.0,32.142857142857146,640.2857142857143
2020-08-24,Actual,2.0,32.714285714285715,630.7142857142857
2020-08-25,Actual,2.5714285714285716,38.42857142857143,715.5714285714286
2020-08-26,Actual,5.285714285714286,35.42857142857143,640.2857142857143
2020-08-27,Actual,6.285714285714286,42.142857142857146,652.2857142857143
2020-08-28,Actual,7.857142857142857,39.57142857142857,655.7142857142857
2020-08-29,Actual,11.142857142857142,36.57142857142857,636.7142857142857
2020-08-30,Actual,12.857142857142858,35.42857142857143,648.1428571428571
2020-08-31,Actual,14.0,30.571428571428573,633.8571428571429
2020-09-01,Actual,19.714285714285715,31.571428571428573,676.1428571428571
2020-09-02,Actual,21.714285714285715,29.0,644.8571428571428
2020-09-03,Actual,26.142857142857142,23.142857142857142,624.7142857142857
2020-09-04,Actual,37.285714285714285,29.714285714285715,700.5714285714287
2020-09-05,Actual,50.42857142857143,31.571428571428573,703.7142857142857
2020-09-06,Actual,69.42857142857143,29.428571428571427,737.7142857142857
2020-09-07,Actual,71.14285714285714,40.142857142857146,768.2857142857144
2020-09-08,Actual,67.71428571428571,61.857142857142854,712.2857142857143
2020-09-09,Actual,104.28571428571429,27.857142857142858,754.2857142857143
2020-09-10,Actual,130.14285714285714,60.142857142857146,813.2857142857143
2020-09-11,Actual,126.57142857142858,81.28571428571429,777.2857142857143
2020-09-12,Actual,120.57142857142858,83.42857142857143,839.2857142857143
2020-09-13,Actual,126.42857142857142,88.42857142857143,926.8571428571429
2020-09-14,Actual,123.85714285714286,110.14285714285714,936.8571428571429
2020-09-15,Actual,121.85714285714286,88.0,1051.142857142857
2020-09-16,Actual,98.57142857142857,115.0,1126.142857142857
2020-09-17,Actual,79.71428571428571,101.85714285714286,1227.7142857142858
2020-09-18,Actual,80.85714285714286,90.71428571428571,1404.0
2020-09-19,Actual,79.14285714285714,98.85714285714286,1530.4285714285713
2020-09-20,Actual,58.857142857142854,111.57142857142857,1549.857142857143
2020-09-21,Actual,59.0,90.85714285714286,1641.857142857143
2020-09-22,Actual,59.285714285714285,90.85714285714286,1687.857142857143
2020-09-23,Actual,45.714285714285715,105.14285714285714,1737.7142857142858
2020-09-24,Actual,38.285714285714285,99.0,1802.4285714285713
2020-09-25,Actual,30.714285714285715,96.42857142857143,1808.4285714285713
2020-09-26,Actual,24.142857142857142,97.71428571428571,1890.0
2020-09-27,Actual,19.142857142857142,94.0,1977.5714285714287
2020-09-28,Actual,18.714285714285715,105.28571428571429,2031.7142857142858
2020-09-29,Actual,19.142857142857142,110.85714285714286,2125.0
2020-09-30,Actual,17.428571428571427,138.14285714285714,2179.0
2020-10-01,Actual,13.714285714285715,128.85714285714286,2262.714285714286
2020-10-02,Actual,12.0,112.57142857142857,2315.1428571428573
2020-10-03,Actual,11.571428571428571,110.0,2328.857142857143
2020-10-04,Actual,10.285714285714286,110.42857142857143,2279.4285714285716
2020-10-05,Actual,10.285714285714286,97.0,2288.5714285714284
2020-10-06,Actual,9.428571428571429,106.85714285714286,2230.0
2020-10-07,Actual,8.285714285714286,78.14285714285714,2259.8571428571427
2020-10-08,Actual,9.428571428571429,82.0,2289.8571428571427
2020-10-09,Actual,10.714285714285714,106.14285714285714,2299.1428571428573
2020-10-10,Actual,10.571428571428571,118.14285714285714,2265.8571428571427
2020-10-11,Actual,11.285714285714286,127.14285714285714,2372.0
2020-10-12,Actual,13.428571428571429,139.57142857142858,2394.5714285714284
2020-10-13,Actual,14.428571428571427,131.57142857142858,2581.4285714285716
2020-10-14,Actual,15.000000000000002,145.14285714285714,2679.8571428571427
2020-10-15,Actual,15.428571428571429,160.42857142857142,2752.0
2020-10-16,Actual,15.285714285714286,164.85714285714286,2872.4285714285716
2020-10-17,Actual,15.000000000000002,135.85714285714286,2510.0
2020-10-18,Actual,14.0,111.0,2153.5714285714284
2020-10-19,Actual,12.428571428571429,197.14285714285714,4211.857142857143
2020-10-20,Actual,13.857142857142858,224.57142857142858,4384.0
2020-10-21,Actual,15.571428571428571,239.28571428571428,4547.0
2020-10-22,Actual,14.714285714285714,237.85714285714286,4532.857142857143
2020-10-23,Actual,13.571428571428571,242.0,4641.571428571428
2020-10-24,Actual,14.428571428571427,281.57142857142856,5268.714285714285
2020-10-25,Actual,16.0,322.0,5766.428571428572
2020-10-26,Actual,15.714285714285714,240.14285714285714,3856.428571428571
2020-10-27,Predicted,14.673005493667125,286.1146690510893,5133.920341846934
