Date,Status,University,County,State
2020-08-08,Actual,0.9999999999999999,55.00000000000001,1109.0
2020-08-09,Actual,0.49999999999999994,49.5,843.0
2020-08-10,Actual,0.3333333333333333,39.0,725.0
2020-08-11,Actual,0.24999999999999997,35.25,718.75
2020-08-12,Actual,0.9999999999999999,37.8,660.2
2020-08-13,Actual,0.9999999999999999,37.333333333333336,701.3333333333334
2020-08-14,Actual,0.9999999999999999,43.714285714285715,735.1428571428571
2020-08-15,Actual,1.2857142857142858,40.285714285714285,690.2857142857143
2020-08-16,Actual,1.4285714285714286,43.285714285714285,696.2857142857143
2020-08-17,Actual,1.4285714285714286,44.285714285714285,687.8571428571429
2020-08-18,Actual,2.142857142857143,40.142857142857146,587.8571428571429
2020-08-19,Actual,1.7142857142857142,40.285714285714285,705.1428571428571
2020-08-20,Actual,1.5714285714285714,39.714285714285715,676.8571428571429
2020-08-21,Actual,1.857142857142857,33.714285714285715,654.7142857142857
2020-08-22,Actual,1.857142857142857,36.714285714285715,669.0
2020-08-23,Actual,1.9999999999999998,32.142857142857146,640.2857142857143
2020-08-24,Actual,1.9999999999999998,32.714285714285715,630.7142857142857
2020-08-25,Actual,2.5714285714285716,38.42857142857143,715.5714285714286
2020-08-26,Actual,5.285714285714286,35.42857142857143,640.2857142857143
2020-08-27,Actual,6.285714285714286,42.142857142857146,652.2857142857143
2020-08-28,Actual,7.857142857142857,39.57142857142857,655.7142857142857
2020-08-29,Actual,11.142857142857142,36.57142857142857,636.7142857142857
2020-08-30,Actual,12.857142857142858,35.42857142857143,648.1428571428571
2020-08-31,Actual,14.0,30.571428571428573,633.8571428571429
2020-09-01,Actual,19.714285714285715,31.571428571428573,676.1428571428571
2020-09-02,Actual,21.714285714285715,29.0,644.8571428571429
2020-09-03,Actual,26.142857142857142,23.142857142857142,624.7142857142857
2020-09-04,Actual,37.285714285714285,29.714285714285715,700.5714285714286
2020-09-05,Actual,50.42857142857143,31.571428571428573,703.7142857142857
2020-09-06,Actual,69.42857142857143,29.428571428571427,737.7142857142857
2020-09-07,Actual,71.14285714285714,40.142857142857146,768.2857142857144
2020-09-08,Actual,67.71428571428571,61.857142857142854,712.2857142857143
2020-09-09,Actual,104.28571428571429,27.857142857142858,754.2857142857142
2020-09-10,Actual,130.14285714285714,60.142857142857146,813.2857142857144
2020-09-11,Actual,126.57142857142857,81.28571428571429,777.2857142857143
2020-09-12,Actual,120.57142857142857,83.42857142857143,839.2857142857143
2020-09-13,Actual,126.42857142857142,88.42857142857143,926.8571428571429
2020-09-14,Actual,123.85714285714286,110.14285714285714,936.8571428571428
2020-09-15,Actual,121.85714285714288,87.99999999999999,1051.142857142857
2020-09-16,Actual,98.57142857142857,115.0,1126.142857142857
2020-09-17,Actual,79.71428571428571,101.85714285714286,1227.7142857142858
2020-09-18,Actual,80.85714285714286,90.71428571428571,1404.0
2020-09-19,Actual,79.14285714285714,98.85714285714286,1530.4285714285713
2020-09-20,Actual,58.85714285714285,111.57142857142857,1549.8571428571427
2020-09-21,Actual,58.99999999999999,90.85714285714286,1641.857142857143
2020-09-22,Actual,59.28571428571429,90.85714285714286,1687.857142857143
2020-09-23,Actual,45.714285714285715,105.14285714285714,1737.714285714286
2020-09-24,Actual,38.285714285714285,99.0,1802.4285714285713
2020-09-25,Actual,30.714285714285715,96.42857142857143,1808.4285714285716
2020-09-26,Actual,24.142857142857142,97.71428571428571,1890.0000000000002
